Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1961","1961","°c","0.105","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1962","1962","°c","-0.332","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1963","1963","°c","0.46","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1964","1964","°c","-0.087","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1965","1965","°c","-0.157","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1966","1966","°c","0.583","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1967","1967","°c","-0.536","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1968","1968","°c","-0.594","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1969","1969","°c","0.149","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1970","1970","°c","0.78","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1971","1971","°c","-0.308","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1972","1972","°c","-0.112","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1973","1973","°c","0.369","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1974","1974","°c","-0.548","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1975","1975","°c","-0.697","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1976","1976","°c","-0.588","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1977","1977","°c","0.39","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1978","1978","°c","0.141","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1979","1979","°c","0.861","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1980","1980","°c","0.582","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1981","1981","°c","-0.509","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1982","1982","°c","0.488","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1983","1983","°c","-0.979","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1984","1984","°c","-0.344","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1985","1985","°c","0.878","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1986","1986","°c","-0.133","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1987","1987","°c","0.43","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1988","1988","°c","0.534","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1989","1989","°c","-1.158","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1990","1990","°c","0.286","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1991","1991","°c","0.211","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1992","1992","°c","-0.282","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1993","1993","°c","-0.463","E","Estimated value"
"ET","Temperature change on land","002","Africa","7271","Temperature change","7001","January","1994","1994","°c","0.267","E","Estimated value"
