Domain,Area,Element,Months,Year,Value
"Temperature change on land","Northern America","Temperature change","January","1961","0.708"
"Temperature change on land","Northern America","Temperature change","January","1962","-0.508"
"Temperature change on land","Northern America","Temperature change","January","1963","-0.596"
"Temperature change on land","Northern America","Temperature change","January","1964","1.243"
"Temperature change on land","Northern America","Temperature change","January","1965","0.092"
"Temperature change on land","Northern America","Temperature change","January","1966","-2.187"
"Temperature change on land","Northern America","Temperature change","January","1967","1.13"
"Temperature change on land","Northern America","Temperature change","January","1968","-0.463"
"Temperature change on land","Northern America","Temperature change","January","1969","-0.761"
"Temperature change on land","Northern America","Temperature change","January","1970","-0.851"
"Temperature change on land","Northern America","Temperature change","January","1971","-1.274"
"Temperature change on land","Northern America","Temperature change","January","1972","-1.605"
"Temperature change on land","Northern America","Temperature change","January","1973","0.69"
"Temperature change on land","Northern America","Temperature change","January","1974","-1.032"
"Temperature change on land","Northern America","Temperature change","January","1975","-0.267"
"Temperature change on land","Northern America","Temperature change","January","1976","0.384"
"Temperature change on land","Northern America","Temperature change","January","1977","0.904"
"Temperature change on land","Northern America","Temperature change","January","1978","-0.121"
"Temperature change on land","Northern America","Temperature change","January","1979","-0.553"
"Temperature change on land","Northern America","Temperature change","January","1980","0.879"
"Temperature change on land","Northern America","Temperature change","January","1981","4.463"
"Temperature change on land","Northern America","Temperature change","January","1982","-2.633"
"Temperature change on land","Northern America","Temperature change","January","1983","1.296"
"Temperature change on land","Northern America","Temperature change","January","1984","-0.149"
"Temperature change on land","Northern America","Temperature change","January","1985","1.902"
"Temperature change on land","Northern America","Temperature change","January","1986","2.66"
"Temperature change on land","Northern America","Temperature change","January","1987","2.877"
"Temperature change on land","Northern America","Temperature change","January","1988","0.153"
"Temperature change on land","Northern America","Temperature change","January","1989","0.442"
"Temperature change on land","Northern America","Temperature change","January","1990","2.198"
"Temperature change on land","Northern America","Temperature change","January","1991","-0.569"
"Temperature change on land","Northern America","Temperature change","January","1992","2.586"
"Temperature change on land","Northern America","Temperature change","January","1993","0.895"
"Temperature change on land","Northern America","Temperature change","January","1994","-1.034"
"Temperature change on land","Northern America","Temperature change","January","1995","2.592"
"Temperature change on land","Northern America","Temperature change","January","1996","-1.221"
"Temperature change on land","Northern America","Temperature change","January","1997","0.255"
"Temperature change on land","Northern America","Temperature change","January","1998","1.169"
"Temperature change on land","Northern America","Temperature change","January","1999","1.303"
"Temperature change on land","Northern America","Temperature change","January","2000","1.395"
"Temperature change on land","Northern America","Temperature change","January","2001","3.309"
"Temperature change on land","Northern America","Temperature change","January","2002","2.586"
"Temperature change on land","Northern America","Temperature change","January","2003","2.726"
"Temperature change on land","Northern America","Temperature change","January","2004","-0.487"
"Temperature change on land","Northern America","Temperature change","January","2005","1.143"
"Temperature change on land","Northern America","Temperature change","January","2006","4.295"
"Temperature change on land","Northern America","Temperature change","January","2007","2.672"
"Temperature change on land","Northern America","Temperature change","January","2008","1.189"
"Temperature change on land","Northern America","Temperature change","January","2009","0.993"
"Temperature change on land","Northern America","Temperature change","January","2010","2.608"
"Temperature change on land","Northern America","Temperature change","January","2011","1.964"
"Temperature change on land","Northern America","Temperature change","January","2012","2.235"
"Temperature change on land","Northern America","Temperature change","January","2013","2.042"
"Temperature change on land","Northern America","Temperature change","January","2014","2.503"
"Temperature change on land","Northern America","Temperature change","January","2015","1.975"
"Temperature change on land","Northern America","Temperature change","January","2016","4.123"
"Temperature change on land","Northern America","Temperature change","January","2017","3.728"
"Temperature change on land","Northern America","Temperature change","January","2018","2.157"
"Temperature change on land","Northern America","Temperature change","January","2019","1.774"
"Temperature change on land","Northern America","Temperature change","January","2020","2.364"
"Temperature change on land","Northern America","Temperature change","January","2021","5.478"
"Temperature change on land","Northern America","Temperature change","January","2022","0.941"
"Temperature change on land","Northern America","Temperature change","January","2023","4.479"
"Temperature change on land","Northern America","Temperature change","February","1961","0.689"
"Temperature change on land","Northern America","Temperature change","February","1962","-0.842"
"Temperature change on land","Northern America","Temperature change","February","1963","0.663"
"Temperature change on land","Northern America","Temperature change","February","1964","0.701"
"Temperature change on land","Northern America","Temperature change","February","1965","-1.878"
"Temperature change on land","Northern America","Temperature change","February","1966","0.048"
"Temperature change on land","Northern America","Temperature change","February","1967","-1.603"
"Temperature change on land","Northern America","Temperature change","February","1968","-0.081"
"Temperature change on land","Northern America","Temperature change","February","1969","1.035"
"Temperature change on land","Northern America","Temperature change","February","1970","0.876"
"Temperature change on land","Northern America","Temperature change","February","1971","0.105"
"Temperature change on land","Northern America","Temperature change","February","1972","-2.41"
"Temperature change on land","Northern America","Temperature change","February","1973","-0.549"
"Temperature change on land","Northern America","Temperature change","February","1974","-0.761"
"Temperature change on land","Northern America","Temperature change","February","1975","-0.501"
"Temperature change on land","Northern America","Temperature change","February","1976","0.728"
"Temperature change on land","Northern America","Temperature change","February","1977","2.74"
"Temperature change on land","Northern America","Temperature change","February","1978","0.423"
"Temperature change on land","Northern America","Temperature change","February","1979","-4.894"
"Temperature change on land","Northern America","Temperature change","February","1980","1.388"
"Temperature change on land","Northern America","Temperature change","February","1981","2.972"
"Temperature change on land","Northern America","Temperature change","February","1982","-0.854"
"Temperature change on land","Northern America","Temperature change","February","1983","1.013"
"Temperature change on land","Northern America","Temperature change","February","1984","2.01"
"Temperature change on land","Northern America","Temperature change","February","1985","-1.515"
"Temperature change on land","Northern America","Temperature change","February","1986","1.547"
"Temperature change on land","Northern America","Temperature change","February","1987","2.323"
"Temperature change on land","Northern America","Temperature change","February","1988","0.303"
"Temperature change on land","Northern America","Temperature change","February","1989","-0.468"
"Temperature change on land","Northern America","Temperature change","February","1990","-1.46"
"Temperature change on land","Northern America","Temperature change","February","1991","2.626"
"Temperature change on land","Northern America","Temperature change","February","1992","1.144"
"Temperature change on land","Northern America","Temperature change","February","1993","-0.478"
"Temperature change on land","Northern America","Temperature change","February","1994","-2.109"
"Temperature change on land","Northern America","Temperature change","February","1995","0.821"
"Temperature change on land","Northern America","Temperature change","February","1996","1.444"
"Temperature change on land","Northern America","Temperature change","February","1997","1.555"
"Temperature change on land","Northern America","Temperature change","February","1998","3.615"
"Temperature change on land","Northern America","Temperature change","February","1999","2.659"
"Temperature change on land","Northern America","Temperature change","February","2000","3.415"
"Temperature change on land","Northern America","Temperature change","February","2001","0.716"
"Temperature change on land","Northern America","Temperature change","February","2002","1.143"
"Temperature change on land","Northern America","Temperature change","February","2003","-0.365"
"Temperature change on land","Northern America","Temperature change","February","2004","1.492"
"Temperature change on land","Northern America","Temperature change","February","2005","2.323"
"Temperature change on land","Northern America","Temperature change","February","2006","2.156"
"Temperature change on land","Northern America","Temperature change","February","2007","0.093"
"Temperature change on land","Northern America","Temperature change","February","2008","-0.235"
"Temperature change on land","Northern America","Temperature change","February","2009","1.348"
"Temperature change on land","Northern America","Temperature change","February","2010","2.868"
"Temperature change on land","Northern America","Temperature change","February","2011","0.36"
"Temperature change on land","Northern America","Temperature change","February","2012","3.398"
"Temperature change on land","Northern America","Temperature change","February","2013","1.593"
"Temperature change on land","Northern America","Temperature change","February","2014","-0.55"
"Temperature change on land","Northern America","Temperature change","February","2015","-0.747"
"Temperature change on land","Northern America","Temperature change","February","2016","3.308"
"Temperature change on land","Northern America","Temperature change","February","2017","3.142"
"Temperature change on land","Northern America","Temperature change","February","2018","0.717"
"Temperature change on land","Northern America","Temperature change","February","2019","-0.488"
"Temperature change on land","Northern America","Temperature change","February","2020","1.143"
"Temperature change on land","Northern America","Temperature change","February","2021","-0.485"
"Temperature change on land","Northern America","Temperature change","February","2022","-0.314"
"Temperature change on land","Northern America","Temperature change","February","2023","0.107"
"Temperature change on land","Northern America","Temperature change","March","1961","-0.252"
"Temperature change on land","Northern America","Temperature change","March","1962","0.489"
"Temperature change on land","Northern America","Temperature change","March","1963","-0.036"
"Temperature change on land","Northern America","Temperature change","March","1964","-2.688"
"Temperature change on land","Northern America","Temperature change","March","1965","-0.465"
"Temperature change on land","Northern America","Temperature change","March","1966","0.837"
"Temperature change on land","Northern America","Temperature change","March","1967","-0.342"
"Temperature change on land","Northern America","Temperature change","March","1968","2.047"
"Temperature change on land","Northern America","Temperature change","March","1969","-0.79"
"Temperature change on land","Northern America","Temperature change","March","1970","0.358"
"Temperature change on land","Northern America","Temperature change","March","1971","-0.29"
"Temperature change on land","Northern America","Temperature change","March","1972","-0.271"
"Temperature change on land","Northern America","Temperature change","March","1973","1.85"
"Temperature change on land","Northern America","Temperature change","March","1974","-0.659"
"Temperature change on land","Northern America","Temperature change","March","1975","-0.993"
"Temperature change on land","Northern America","Temperature change","March","1976","-0.285"
"Temperature change on land","Northern America","Temperature change","March","1977","1.875"
"Temperature change on land","Northern America","Temperature change","March","1978","-0.165"
"Temperature change on land","Northern America","Temperature change","March","1979","0.681"
"Temperature change on land","Northern America","Temperature change","March","1980","0.483"
"Temperature change on land","Northern America","Temperature change","March","1981","3.482"
"Temperature change on land","Northern America","Temperature change","March","1982","-0.095"
"Temperature change on land","Northern America","Temperature change","March","1983","0.661"
"Temperature change on land","Northern America","Temperature change","March","1984","0.513"
"Temperature change on land","Northern America","Temperature change","March","1985","1.376"
"Temperature change on land","Northern America","Temperature change","March","1986","1.417"
"Temperature change on land","Northern America","Temperature change","March","1987","1.254"
"Temperature change on land","Northern America","Temperature change","March","1988","1.981"
"Temperature change on land","Northern America","Temperature change","March","1989","-0.905"
"Temperature change on land","Northern America","Temperature change","March","1990","2.649"
"Temperature change on land","Northern America","Temperature change","March","1991","1.224"
"Temperature change on land","Northern America","Temperature change","March","1992","2.048"
"Temperature change on land","Northern America","Temperature change","March","1993","1.502"
"Temperature change on land","Northern America","Temperature change","March","1994","1.841"
"Temperature change on land","Northern America","Temperature change","March","1995","0.667"
"Temperature change on land","Northern America","Temperature change","March","1996","-0.273"
"Temperature change on land","Northern America","Temperature change","March","1997","0.301"
"Temperature change on land","Northern America","Temperature change","March","1998","1.654"
"Temperature change on land","Northern America","Temperature change","March","1999","2.467"
"Temperature change on land","Northern America","Temperature change","March","2000","3.623"
"Temperature change on land","Northern America","Temperature change","March","2001","1.639"
"Temperature change on land","Northern America","Temperature change","March","2002","-0.884"
"Temperature change on land","Northern America","Temperature change","March","2003","0.359"
"Temperature change on land","Northern America","Temperature change","March","2004","1.557"
"Temperature change on land","Northern America","Temperature change","March","2005","2.091"
"Temperature change on land","Northern America","Temperature change","March","2006","2.167"
"Temperature change on land","Northern America","Temperature change","March","2007","1.013"
"Temperature change on land","Northern America","Temperature change","March","2008","-0.047"
"Temperature change on land","Northern America","Temperature change","March","2009","-0.069"
"Temperature change on land","Northern America","Temperature change","March","2010","3.557"
"Temperature change on land","Northern America","Temperature change","March","2011","0.782"
