Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1961","1961","°c","0.4","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1962","1962","°c","0.101","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1963","1963","°c","-0.159","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1964","1964","°c","-0.305","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1965","1965","°c","0.204","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1966","1966","°c","0.458","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1967","1967","°c","-0.286","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1968","1968","°c","-0.396","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1969","1969","°c","-0.858","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1970","1970","°c","0.069","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1971","1971","°c","-0.038","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1972","1972","°c","-0.996","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1973","1973","°c","0.226","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1974","1974","°c","-0.498","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1975","1975","°c","0.36","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1976","1976","°c","0.127","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1977","1977","°c","-0.547","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1978","1978","°c","0.104","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1979","1979","°c","0.371","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1980","1980","°c","0.094","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1981","1981","°c","1.092","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1982","1982","°c","0.104","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1983","1983","°c","0.673","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1984","1984","°c","0.191","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1985","1985","°c","0.237","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1986","1986","°c","0.892","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1987","1987","°c","0.535","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7001","January","1988","1988","°c","0.898","E","Estimated value"
