Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1961","1961","°c","0.209","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1962","1962","°c","0.034","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1963","1963","°c","0.164","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1964","1964","°c","-0.252","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1965","1965","°c","-0.224","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1966","1966","°c","0.201","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1967","1967","°c","-0.117","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1968","1968","°c","-0.122","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1969","1969","°c","-0.093","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1970","1970","°c","0.153","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1971","1971","°c","-0.089","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1972","1972","°c","-0.198","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1973","1973","°c","0.269","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1974","1974","°c","-0.182","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1975","1975","°c","0.088","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1976","1976","°c","-0.313","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1977","1977","°c","0.272","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1978","1978","°c","0.001","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1979","1979","°c","0.218","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1980","1980","°c","0.328","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1981","1981","°c","0.437","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1982","1982","°c","0.076","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1983","1983","°c","0.452","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1984","1984","°c","0.119","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1985","1985","°c","-0.035","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1986","1986","°c","0.236","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1987","1987","°c","0.394","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1988","1988","°c","0.551","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1989","1989","°c","0.325","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1990","1990","°c","0.633","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1991","1991","°c","0.459","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1992","1992","°c","0.181","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1993","1993","°c","0.343","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1994","1994","°c","0.502","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1995","1995","°c","0.83","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1996","1996","°c","0.352","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1997","1997","°c","0.658","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1998","1998","°c","0.99","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","1999","1999","°c","0.777","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2000","2000","°c","0.726","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2001","2001","°c","0.833","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2002","2002","°c","1.015","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2003","2003","°c","0.895","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2004","2004","°c","0.911","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2005","2005","°c","1.1","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2006","2006","°c","0.999","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2007","2007","°c","1.19","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2008","2008","°c","0.928","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2009","2009","°c","0.948","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2010","2010","°c","1.215","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2011","2011","°c","0.913","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2012","2012","°c","1.07","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2013","2013","°c","1.016","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2014","2014","°c","1.047","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2015","2015","°c","1.407","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2016","2016","°c","1.659","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2017","2017","°c","1.429","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2018","2018","°c","1.283","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2019","2019","°c","1.435","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2020","2020","°c","1.682","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2021","2021","°c","1.466","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2022","2022","°c","1.374","E","Estimated value"
"ET","Temperature change on land","001","World","7271","Temperature change","7020","Meteorological year","2023","2023","°c","1.767","E","Estimated value"
