Domain,Area,Element,Months,Year,Value
"Temperature change on land","World","Temperature change","Meteorological year","1961","0.209"
"Temperature change on land","World","Temperature change","Meteorological year","1962","0.034"
"Temperature change on land","World","Temperature change","Meteorological year","1963","0.164"
"Temperature change on land","World","Temperature change","Meteorological year","1964","-0.252"
"Temperature change on land","World","Temperature change","Meteorological year","1965","-0.224"
"Temperature change on land","World","Temperature change","Meteorological year","1966","0.201"
"Temperature change on land","World","Temperature change","Meteorological year","1967","-0.117"
"Temperature change on land","World","Temperature change","Meteorological year","1968","-0.122"
"Temperature change on land","World","Temperature change","Meteorological year","1969","-0.093"
"Temperature change on land","World","Temperature change","Meteorological year","1970","0.153"
"Temperature change on land","World","Temperature change","Meteorological year","1971","-0.089"
"Temperature change on land","World","Temperature change","Meteorological year","1972","-0.198"
"Temperature change on land","World","Temperature change","Meteorological year","1973","0.269"
"Temperature change on land","World","Temperature change","Meteorological year","1974","-0.182"
"Temperature change on land","World","Temperature change","Meteorological year","1975","0.088"
"Temperature change on land","World","Temperature change","Meteorological year","1976","-0.313"
"Temperature change on land","World","Temperature change","Meteorological year","1977","0.272"
"Temperature change on land","World","Temperature change","Meteorological year","1978","0.001"
"Temperature change on land","World","Temperature change","Meteorological year","1979","0.218"
"Temperature change on land","World","Temperature change","Meteorological year","1980","0.328"
"Temperature change on land","World","Temperature change","Meteorological year","1981","0.437"
"Temperature change on land","World","Temperature change","Meteorological year","1982","0.076"
"Temperature change on land","World","Temperature change","Meteorological year","1983","0.452"
"Temperature change on land","World","Temperature change","Meteorological year","1984","0.119"
"Temperature change on land","World","Temperature change","Meteorological year","1985","-0.035"
"Temperature change on land","World","Temperature change","Meteorological year","1986","0.236"
"Temperature change on land","World","Temperature change","Meteorological year","1987","0.394"
"Temperature change on land","World","Temperature change","Meteorological year","1988","0.551"
"Temperature change on land","World","Temperature change","Meteorological year","1989","0.325"
"Temperature change on land","World","Temperature change","Meteorological year","1990","0.633"
"Temperature change on land","World","Temperature change","Meteorological year","1991","0.459"
"Temperature change on land","World","Temperature change","Meteorological year","1992","0.181"
"Temperature change on land","World","Temperature change","Meteorological year","1993","0.343"
"Temperature change on land","World","Temperature change","Meteorological year","1994","0.502"
"Temperature change on land","World","Temperature change","Meteorological year","1995","0.83"
"Temperature change on land","World","Temperature change","Meteorological year","1996","0.352"
"Temperature change on land","World","Temperature change","Meteorological year","1997","0.658"
"Temperature change on land","World","Temperature change","Meteorological year","1998","0.99"
"Temperature change on land","World","Temperature change","Meteorological year","1999","0.777"
"Temperature change on land","World","Temperature change","Meteorological year","2000","0.726"
"Temperature change on land","World","Temperature change","Meteorological year","2001","0.833"
"Temperature change on land","World","Temperature change","Meteorological year","2002","1.015"
"Temperature change on land","World","Temperature change","Meteorological year","2003","0.895"
"Temperature change on land","World","Temperature change","Meteorological year","2004","0.911"
"Temperature change on land","World","Temperature change","Meteorological year","2005","1.1"
"Temperature change on land","World","Temperature change","Meteorological year","2006","0.999"
"Temperature change on land","World","Temperature change","Meteorological year","2007","1.19"
"Temperature change on land","World","Temperature change","Meteorological year","2008","0.928"
"Temperature change on land","World","Temperature change","Meteorological year","2009","0.948"
"Temperature change on land","World","Temperature change","Meteorological year","2010","1.215"
"Temperature change on land","World","Temperature change","Meteorological year","2011","0.913"
"Temperature change on land","World","Temperature change","Meteorological year","2012","1.07"
"Temperature change on land","World","Temperature change","Meteorological year","2013","1.016"
"Temperature change on land","World","Temperature change","Meteorological year","2014","1.047"
"Temperature change on land","World","Temperature change","Meteorological year","2015","1.407"
"Temperature change on land","World","Temperature change","Meteorological year","2016","1.659"
"Temperature change on land","World","Temperature change","Meteorological year","2017","1.429"
"Temperature change on land","World","Temperature change","Meteorological year","2018","1.283"
"Temperature change on land","World","Temperature change","Meteorological year","2019","1.435"
"Temperature change on land","World","Temperature change","Meteorological year","2020","1.682"
"Temperature change on land","World","Temperature change","Meteorological year","2021","1.466"
"Temperature change on land","World","Temperature change","Meteorological year","2022","1.374"
"Temperature change on land","World","Temperature change","Meteorological year","2023","1.767"
